	System-Id	WM1	WM2	distance	drug-offset-end	drug-offset-start	relType	sideEffect-offset-end	sideEffect-offset-start	Sentence
5793	14103011-d33d-4426-8352-30ace931d004	cytoxin	done very well		233	226	positive	172	158	i've done very well with this combination.tac is taxotere, adriamyacin & cytoxin.terri
5795	14127bad-2eb7-41a1-8352-f34057ae1c19	herceptin	my hair grew back		37	28	positive	24	7	hair, my hair grew back on herceptin.acne: i did break out.
5796	14143b71-321b-4b38-8b39-a460d968f069	taxol	really helped		516	511	positive	457	444	i think deb on the forum said magnesium really helped with her neuropathy when it developed after 11 of 12 taxol treatments.
5797	14147919-7c7a-403c-8353-9c0224e64b90	xeloda	i am doing well		1148	1142	positive	1091	1076	dh is ok too as he did fall on his bad knee but ok. i am doing well and still trying to find someone who is using the xeloda as i am leaning to doing this pill for a while first before the other trial option.
5798	1415cfde-4d5b-46c8-bb49-085ebef5b5b9	letrozole	no pain		529	520	positive	465	458	no pain except for slight stiffness, and hot flashes from the letrozole (aka femara).
5799	1415cfde-4d5b-46c8-bb49-085ebef5b5b9	femara	no pain		541	535	positive	465	458	no pain except for slight stiffness, and hot flashes from the letrozole (aka femara).
5801	1419a1b1-67ca-4128-bb5f-96fbccb6d861	erbitux	responded very well		578	571	positive	639	620	he's responded very well to the erbitux and the lung mets have not grown since he's been on it and his cea is stable.
5802	141a4b34-b7c8-499e-8771-57ae17520fe4	rituxan	treatment went well		12	5	positive	32	13	the rituxan treatment went well today.
5803	141caa3f-acc2-4c38-bb71-840b54031cf9	xeloda	more effective		202	196	positive	145	131	one of the studies i read claimed xeloda and oxy was more effective than 5fu pump and oxy.
5804	141ee589-5f88-4438-82c7-2995086c1b24	zytiga	no pain		32	26	positive	90	83	started zytiga february 1st with 900 psa, today i'm at 500, with no pain!
5805	142244b6-8ed6-4e08-8358-2fb9cfbe9640	xeloda	never lost my hair		779	773	positive	702	684	never lost my hair and have been fortunate enough to respond well to ais and 6 months of xeloda, which doesn't take your hair.
5806	142286d6-db45-47f6-8358-45b1f1820cc4	herceptin	doing great		57	48	positive	150	139	but i am happy herceptin is out there and have read posts by ladies given herceptin for lots of years and doing great.
5807	1422d19d-6aad-48ba-8358-5e8a108c0584	tamox	work better		246	241	positive	806	795	some oncologists are now prescribing the aromasin to post-menopausal women with dcis, not because of the side effect profile of the tamoxifen, but because it was found that the aromatase inhibitors work better in post-menopausal women with idc, and, at least my oncologist, at a very well-known cancer center, feels that those findings will eventually extend to dcis.
5808	1422d19d-6aad-48ba-8358-5e8a108c0584	aromasi	work better		158	151	positive	806	795	some oncologists are now prescribing the aromasin to post-menopausal women with dcis, not because of the side effect profile of the tamoxifen, but because it was found that the aromatase inhibitors work better in post-menopausal women with idc, and, at least my oncologist, at a very well-known cancer center, feels that those findings will eventually extend to dcis.
5809	1422d19d-6aad-48ba-8358-5e8a108c0584	tamoxifen	work better		250	241	positive	806	795	some oncologists are now prescribing the aromasin to post-menopausal women with dcis, not because of the side effect profile of the tamoxifen, but because it was found that the aromatase inhibitors work better in post-menopausal women with idc, and, at least my oncologist, at a very well-known cancer center, feels that those findings will eventually extend to dcis.
5810	1422d19d-6aad-48ba-8358-5e8a108c0584	arom	work better		124	120	positive	806	795	some oncologists are now prescribing the aromasin to post-menopausal women with dcis, not because of the side effect profile of the tamoxifen, but because it was found that the aromatase inhibitors work better in post-menopausal women with idc, and, at least my oncologist, at a very well-known cancer center, feels that those findings will eventually extend to dcis.
5811	14248648-99e5-4e61-8358-efa69648f999	avastin	i felt fine		36	29	positive	1167	1156	when i was infused w/the avastin i felt fine.
5815	1425020a-d87b-47b5-8359-18c94c18b611	xeloda	works too		84	78	positive	106	97	xeloda with tykerb works too.
5816	1425020a-d87b-47b5-8359-18c94c18b611	tykerb	works too		96	90	positive	106	97	xeloda with tykerb works too.
5817	1425f34e-c860-4b16-8f71-b8331d5445a9	carbo	has less side effects		275	270	positive	812	791	from what i have heard carbo has less side effects then cisplatin.
5818	1425f34e-c860-4b16-8f71-b8331d5445a9	cisplatin	has less side effects		827	818	positive	812	791	from what i have heard carbo has less side effects then cisplatin.
5820	142c9e65-72f1-473f-835b-a0e60d015c59	herceptin	really help		346	337	positive	399	388	i am very thankful for herceptin,and reading the positive remarks on here really help when i am a little down
5821	142f178c-1d3d-4e2b-82e2-0213ce1612a9	fludara	no hair loss		18	11	positive	58	46	i had fr (fludara & rituxan) in 2005 and had no hair loss.
5822	142f178c-1d3d-4e2b-82e2-0213ce1612a9	rituxan	no hair loss		28	21	positive	58	46	i had fr (fludara & rituxan) in 2005 and had no hair loss.
5824	142fcf9c-0646-48dc-84d3-7f2278b6bb24	zytiga	best option		83	77	positive	105	94	i wouldn't see zytiga as second best option.
5825	14306519-c9e6-4978-bbe6-5e15cd1f61e9	arom	it works		262	258	positive	294	286	aromatherapy does work, but it works because these oils can have medical properties.
5826	14321cae-634e-4ae0-81d8-036476ebc7a4	carboplatin	good results		176	165	positive	159	147	hello, welcome to our support family.you will find lots of knowing and caring people here.sounds like you have it going forward already.i too had good results with carboplatin & taxol.you will also find lots of survivors here.
5827	14321cae-634e-4ae0-81d8-036476ebc7a4	taxol	good results		184	179	positive	159	147	hello, welcome to our support family.you will find lots of knowing and caring people here.sounds like you have it going forward already.i too had good results with carboplatin & taxol.you will also find lots of survivors here.
5828	14331108-2d10-4df2-835d-c6b95879f624	taxol	no problems		44	39	positive	71	60	hi ladies, i had my third infusion of taxol this week with no problems.
5829	1435d18e-a11c-4a42-8635-9e6b05e63aa4	abrax	very well		453	448	positive	466	457	there are many people that do not tolerate abraxane very well.
5830	1437ca55-e391-4a39-835f-59fa38500c09	femara	worked well		272	266	positive	770	759	chemo worked well for 22 mos & am now on perj/herc/femara.and my diep problems are lessened, since nerves are awakening.
5831	1437cc89-6e7d-4b02-835f-5ab639732764	taxotere	no allergic reaction		107	99	positive	133	113	and i got through the taxotere with no allergic reaction so i'm happy!
5832	14389310-6a69-489a-8787-d499538d6a04	rituxan	it was very doable		55	48	positive	79	61	darrel, i have had 3 rounds of r-ice (ice with rituxan) and it was very doable.
5833	1439c69e-57dd-43d0-81d9-69e4e15abf21	tarceva	works wonders		96	89	positive	110	97	sorry you've had to go through so much suffering already, but hoping the tarceva works wonders for you.
5834	143abefd-be97-4b9e-8360-567a7f07b4e4	tamoxifen	less effective		231	222	positive	253	239	also, there is some evidence that tamoxifen may be less effective for some ilcs; please discuss with the oncologists.
5835	143ad71b-f151-4195-8360-5e877974a2d1	tamoxifen	hair growth		87	78	positive	135	124	i love this .to funnyi too bought a electric to shave and hoping tamoxifen brings on the menopause to stop the hair growth!
5836	143cf0fb-13a3-4f2b-a125-d6293dd3c5d9	taxotere	so far not too bad		1981	1973	positive	2046	2028	anyway enough of him - i had my second taxotere yesterday.usually get hit on the third day so so far not too bad.
5837	143d18b6-ee53-4ee5-8361-1f616a7615f1	taxotere	no problems		436	428	positive	576	565	i had an allergic reaction on my 2nd one as well and though they slowed things down considerably, i continued on taxotere with no problems for the remainder of my rounds.
5839	143d79fa-b582-40a6-8361-3fdd16875604	tamoxifen	seems to help		62	53	positive	136	123	the coffee seems to help tamoxifen work better.
5840	143d79fa-b582-40a6-8361-3fdd16875604	tamoxifen	work better		62	53	positive	158	147	the coffee seems to help tamoxifen work better.
5841	143e9c73-3668-41ef-878c-545159e04bb9	rituxin	works best		292	285	positive	255	245	chemo apparently works best on tumors and blood, whereas rituxin works best on blood and bone marrow, and the vaccine works best on blood and bone marrow.
5842	143f168f-43a5-4527-8361-c9ad82e49549	aromasi	works for me		256	249	positive	270	258	i am hoping the aromasin works for me again and that he might learn someting from this that will benefit other patients.
5843	143f6258-8b7d-41d3-8361-e2ff4fd8a681	tamoxifen	less effective		2446	2437	positive	2694	2680	none of my doctors have felt concerned about tamoxifen being used in my case, and i've asked if it isn't as effective in luminal b cases and was told that there are no data that support that tamoxifen would be less effective on a case like mine.bottom line, it's important to ask all the questions and get all the clear, informed, credible facts from the people who know your specific case, and know what is relevant to you.
5844	14409aba-9eb3-4f9a-8362-4b60884e4b04	taxol	is easier		721	716	positive	1091	1082	my oncologist keeps telling me taxol is easier .
5845	14423506-4d44-4d05-8362-d482bcae4d31	tamox	helped me		13	8	positive	387	378	cymbalta helped me but that is something that should not be taken with tamox.
5846	1442ef57-10f8-4db7-8363-12cc11435f29	aromasi	hair grew back		21	14	positive	246	232	if i understand what you are saying, after you stopped the aromasin, your hair grew back just fine.
5847	14451ed1-5594-4310-bc61-98ccf49a1aa4	avastin	pretty easy to take		57	50	positive	80	61	fran - i think you may well find that xeloda and avastin is pretty easy to take.
5848	14451ed1-5594-4310-bc61-98ccf49a1aa4	xeloda	pretty easy to take		45	39	positive	80	61	fran - i think you may well find that xeloda and avastin is pretty easy to take.
5849	14453543-1f03-4a39-8363-d564c6c50c09	aromasi	good results		187	180	positive	174	162	i am wishing you good results with aromasin.
5850	14453543-1f03-4a39-8363-d564c6c50c09	arom	good results		184	180	positive	174	162	i am wishing you good results with aromasin.
5854	14489c6e-e47a-41b5-8364-f8e01090da11	tamoxifen	so much easier		565	556	positive	550	536	so much easier than tamoxifen, chemo, and other meds i have been on over the past 2.5 years!
5855	144b4a56-e3d9-45e3-a154-e7f9614635e9	xeloda	getting better		431	425	positive	454	440	other than that my feet and hands are still peeling from xeloda but are getting better.
5857	144bb925-4c3d-492f-8366-039c833a8479	letrozole	i feel better		497	488	positive	392	379	i feel better now three months post op by fighting with as many anti cancer regiments as possible, including letrozole.
5858	144c8ecd-4014-4c93-861f-8fbdce205b29	gleevec	highly effective		3339	3332	positive	3437	3421	novartis ag's (nyse: nvs) drug gleevec (imatinib), which targets a fusion protein responsible for cml, has proved to be highly effective in arresting the disease.
5859	144c8ecd-4014-4c93-861f-8fbdce205b29	imatinib	highly effective		3349	3341	positive	3437	3421	novartis ag's (nyse: nvs) drug gleevec (imatinib), which targets a fusion protein responsible for cml, has proved to be highly effective in arresting the disease.
5860	144d85db-3a93-4ca0-bc93-b2683ea94e10	tamoxifen	no problems		156	147	positive	186	175	i have been on tamoxifen for 2 months with no problems.
5862	144e3b4e-108f-4a20-bc97-ed3f24e07e90	arimidex	doing fine		25	17	positive	336	326	my sister takes arimidex.she had a cough and thought it might be that.seems she told me it was one side effect.coughing.she's had a cold and nothing to do with that.the cold lingered so longshe started wondering if it was the new meds.she just wasn't taking care of herselfand wasn't able to get rid of the bug she had.she's doing fine but only been taking itmaybe 6 weeks.
5863	144edd47-8265-4994-8367-10fe7eb48f10	femara	much better		739	733	positive	751	740	i will have to admit i am tolerating the femara much better today than 6 months ago.
5864	144f0c24-9a97-4509-8645-28cd948bb139	oxaliplatin	minimal side effects		52	41	positive	78	58	i made it through the first 72 hours of oxaliplatin with minimal side effects.
5866	144f8e6c-829e-4ef9-8798-fc6bcf41ce49	rituximab	works best		97	88	positive	513	503	there are no consensus as to which of the above is the primary mechanism of action, and at what level of serum concentration rituximab works best.
5867	1452de9b-17c5-4dbb-8368-68b649977db1	taxol	pretty well		433	428	positive	445	434	even though i got by the taxol pretty well i still find my feet get tired after not much activity.
5868	14557d31-bcdf-4a91-8369-49a7b5f047f9	tamoxifen	no problems so far		776	767	positive	813	795	started my tamoxifen the other day and no problems so far.
5869	1456be0a-98b5-4e0f-8369-b5520e7bd8b9	tamoxifen	doing well		213	204	positive	225	215	i am now on tamoxifen, doing well.
5870	1456d229-9c42-41a9-8369-bc12c88989e9	temodar	it helps		100	93	positive	130	122	they are giving temodar two months to see if it helps him, but they said if we don't get this thing to stop growing, it's a matter of months, not years.
5871	145947f2-70c9-47b4-823a-cda3e6ebb390	carboplatin	went very well		49	38	positive	81	67	i have finished my 4 round of chemo (carboplatin & taxol) and all went very well.
5872	145947f2-70c9-47b4-823a-cda3e6ebb390	taxol	went very well		57	52	positive	81	67	i have finished my 4 round of chemo (carboplatin & taxol) and all went very well.
5873	145bde38-cfc7-470f-836b-6de9e21eb6b9	taxol	it is better		1184	1179	positive	1294	1282	my onc even dangled the fish of extending the taxol if possible to allow the antihormonal more time to work (that was before the neuropathy-although it is better this week, go figure) then surgery and then either less chemo-or even no chemo!!
5874	145c1c50-b20f-4ee8-bcea-de78af369b51	taxol	no nausea		75	70	positive	2392	2383	i had no morning sickness at all with either son and no nausea with chemo - even when i quit taking zofran 1/2 way through taxol.
5875	145c400b-b62d-4840-836b-8ec706819000	herceptin	feeling good		1374	1365	positive	1348	1336	hope you're feeling good today after the herceptin infusion from yesterday, and hope the acupuncture went well.octo, thinking of you!!
5876	145c8c81-b3b1-4b8d-836b-a8775239a841	tamoxifen	i have no side effects		222	213	positive	313	291	i have no side effects from tamoxifen.
5877	145c8d00-dde7-4155-87a2-b84346ff4311	rituxan	went well		33	26	positive	52	43	deb, i'm glad your first rituxan infusion went well.
5878	145d4109-b468-4c87-836b-e5200f375689	taxol	it worked		178	173	positive	1156	1147	it worked within 10 minutes & i was able to finish the taxol without issue.
5879	145e54c9-da17-4ac7-836c-41cb527ce209	taxol	best option		326	321	positive	465	454	she said there are other new tx's that have less se, but she said they haven't been studied enough and she felt taxol was the best option as things stand now.
5881	146112f5-4127-4956-a19c-9ccd21c17b64	aromasi	i felt so much better		29	22	positive	466	445	i felt so much better off aromasin it just did not work for me.
5883	1462ff4f-5287-4900-87a7-8ec432e90000	rituxan	it worked		181	174	positive	206	197	our lymphoma specialist told us that he would like to see mario do rituxan for as long as it worked for him (so far, that has been twice!)
5884	1463276e-b419-4c30-bd15-0bc704a79444	avastin	works very well		54	47	positive	70	55	good luck tomorrow with your dr. visit.i hear avastin works very well but there are some side effects to watch out for so ask your dr about it.
5885	1465753a-1170-4a64-8587-f95ae77a2fe4	herceptin	my hair is growing back		101	92	positive	129	106	i am currently on herceptin and my hair is growing back.
5886	14680f99-8cfd-4890-bd32-767e0e949864	avastin	seems to help		50	43	positive	114	101	let me again warn that while avastin seems to help it needs to be monitored very very closly.
5887	1468459b-beb7-4c6c-836f-99e992ee1f10	avastin	was easier		36	29	positive	297	287	praying for you, i believe avastin was easier to take than some of the chemo drugs she took.
5888	146883af-18f6-4281-836f-aed0e50e73d9	herceptin	it was much easier		384	375	positive	404	386	i've had the same experiences as you with herceptin, it was much easier than chemo, but i still had some of the same se.
5889	146cea28-0e40-4395-8371-2a514fe3b6d1	doceta	was ok		222	216	positive	246	240	i had an allergic reaction to my 2nd docetaxel on monday but was ok after having iv steroids.
5890	146f7f2b-bcbe-400d-8372-092875247541	arimidex	i feel so much better		151	143	positive	242	221	i am now on arimidex and won't have s done for several weeks to see if it is working, but i feel so much better than i did on tamoxifen.
5891	146f7f2b-bcbe-400d-8372-092875247541	tamoxifen	i feel so much better		60	51	positive	242	221	i am now on arimidex and won't have s done for several weeks to see if it is working, but i feel so much better than i did on tamoxifen.
5892	14700a1a-3e78-4960-bd62-5a640ba91010	temodar	did well		503	496	positive	934	926	hubby did well on temodar - no nausea, but he did battle fatigue.
5893	14785a19-1411-4c4b-8375-0637ae6b8e11	tamoxifen	pretty tolerable		313	304	positive	336	320	i think you will find tamoxifen to be pretty tolerable.
5894	147948cc-468f-4c40-bd99-ef9ed992ca40	cisplatin	very effective		467	458	positive	495	481	i received cisplatin, and several very effective anti-nausea drugs, and i got through the entire course of chemo treatment with minimal setbacks.
5895	147a4006-6b7e-4d30-bd9f-bf77bbd96dc4	arimidex	all went well		289	281	positive	265	252	all went well and now i'm on arimidex (i'm 62).
5896	147e1e7b-7ff9-4cf0-bdb7-0aed330a3aa4	carbo	pretty well		475	470	positive	409	398	the pain was pretty well managed: the worst of it was cramping for two days from the carbon dioxide gas pumped into your body.
5897	14804c5f-7dfe-4f59-87bd-9f5f1fcdef09	mabthera	greatly improved		218	210	positive	130	114	increased potential cure for people with aggressive blood cancer three-year follow-up data from gela study shows greatly improved long term survival for aggressive non-hodgkin's lymphoma patients treated with mabthera data presented today at the american society of clinical oncology (asco) annual meeting showed that patients with an aggressive form of the blood cancer, non-hodgkin's lymphoma (nhl), who were treated with mabthera plus standard chemotherapy (chop), have an improved chance of survival after three years compared with those treated with standard chemotherapy alone.
5898	14812f24-e290-4ca0-afcc-050964c1a400	taxol	very well		34	29	positive	1452	1443	i have tolerated the taxol very well.
5899	148335a4-db9a-4b63-8378-b20b9791cbe1	femera	feeling better		198	192	positive	160	146	i'm feeling better so my mo wants to switch me to femera.
5903	14834bb1-eae9-4c47-8378-b9824e67cf09	aromasi	i did great		378	371	positive	367	356	i did great on aromasin and my tumor markers went all the way from the 700's to 18 when i was on it.
5911	14837e62-9627-4180-82e3-36321b138400	doceta	helped alot		478	472	positive	581	570	for the first 2 treatments only,he was given docetaxel.he also took apricot seeds b17 and goji juice right from the beginning which i believed helped alot.
5912	1487935f-78a8-4f08-837a-2c85f5872640	herceptin	is working		160	151	positive	106	96	keeping my fingers crossed that the taxol is working and praying that you get into the trial for herceptin.
5913	1487935f-78a8-4f08-837a-2c85f5872640	taxol	is working		95	90	positive	106	96	keeping my fingers crossed that the taxol is working and praying that you get into the trial for herceptin.
5914	1487c0fc-830d-4a54-82e4-6959e0db2311	avastin	works better		20	13	positive	499	487	for some avastin works better than anything.
5916	148f8d56-ccda-47f8-be20-37fa7f1a5049	femara	no issues		69	63	positive	287	278	i went throught natural menopause 21 years ago and have beenm on femara for 2 years with no issues.
5917	1490114a-4662-4302-837d-0d8aa6a18764	herceptin	feeling great		1029	1020	positive	1006	993	she said she's feeling great and that the herceptin/perjeta has changed her life for the positive.
5918	1490114a-4662-4302-837d-0d8aa6a18764	perjeta	feeling great		1037	1030	positive	1006	993	she said she's feeling great and that the herceptin/perjeta has changed her life for the positive.
5919	14918578-be25-4fe0-be2c-1f18f525d490	taxol	much easier		121	116	positive	433	422	good luck, and god bless, judy by the way, i found taxol much easier to take than a/c, hope it's the same for you!
5921	14954468-bef6-4ef4-837e-d16a50d33210	arimidex	doing fine		40	32	positive	69	59	hello everyone, i have been on arimidex for one year now, doing fine and on zoladex shots until my hysterectomy next week.
5922	14954468-bef6-4ef4-837e-d16a50d33210	zoladex	doing fine		84	77	positive	69	59	hello everyone, i have been on arimidex for one year now, doing fine and on zoladex shots until my hysterectomy next week.
5923	149644f0-6360-4677-837f-288cee366da9	taxol	much easier		162	157	positive	216	205	i have been terrified hearing about all the ses from the taxol, but its nice to know that it can also be much easier than ac, at least for some.
5924	1498eb23-fc68-4710-be58-df257a3ba4a4	taxotere	hair started growing back		201	193	positive	165	140	took my wig off august 2001. my hair started growing back when i switched from ac to taxotere.
5926	14999911-34f3-4e98-be5c-fc26433caf71	tamox	working for me		169	164	positive	322	308	i quit the tamox cause i didn't think it was working for me and i did not think it was helping my mental state.
5926	14999911-34f3-4e98-be5c-fc26433caf71	tamox	working for me		169	164	positive	322	308	tamox wasn't working for me.
5927	149cd878-717f-4f38-82ea-5db91e69e024	torisel	i am feeling great		46	39	positive	79	61	just received my 23rd dose of torisel yesterday and i am feeling great!
5928	149cd878-717f-4f38-82ea-5db91e69e024	sutent	worked great		871	865	positive	944	932	the sutent worked great until early this year and the avastin didnt work to control the tumors at all.
5929	149cd878-717f-4f38-82ea-5db91e69e024	avastin	worked great		894	887	positive	944	932	the sutent worked great until early this year and the avastin didnt work to control the tumors at all.
5930	149d07cb-0cd4-4039-8381-74e6a0ced809	armidex	works great		326	319	positive	462	451	btw effexor xr works great for hotflashes.i had an ooperectomy in may of this year so i could remain on armidex, previous to that i was on zoladex injections with the armidex.all in all the side effects are not bad.give them a try and see what happens.i also take 800 mg of vitamin d and 1500 mg of calcium each day to help prevent bone loss.
5931	149d07cb-0cd4-4039-8381-74e6a0ced809	zoladex	works great		582	575	positive	462	451	btw effexor xr works great for hotflashes.i had an ooperectomy in may of this year so i could remain on armidex, previous to that i was on zoladex injections with the armidex.all in all the side effects are not bad.give them a try and see what happens.i also take 800 mg of vitamin d and 1500 mg of calcium each day to help prevent bone loss.
5932	149d96ad-b76f-49b1-8381-a5810b3c1439	taxol	so far so good		9	4	positive	38	24	#2 taxol yesterday and so far so good.
5933	149e4614-d9c8-4d0f-8381-e12cde3a0ab9	afinitor	working for me		56	48	positive	463	449	on the up side i've lost about 25 lbs.as far as the afinitor working for me after six month, my tm's have gone up and ct showed some progression.
5935	149fd469-5098-4063-87d5-81455a4d1ca1	rituxan	worked well		46	39	positive	1187	1176	i found that a heating pad worked well with my rituxan aches, so maybe that's worth a try.
5936	14a14dc2-3c89-4cb4-82eb-a0b60700e2c1	carac	worth it		175	170	positive	771	763	i've tried aquaphor ointment, but i have to get the 'grease' off before applying carac at nite and i'm not sure the pain of that 'scrubbing' is worth it.
5937	14a17ba2-fdc3-4e94-8303-0be13b6d5c90	rituxan	i felt great		101	94	positive	1518	1506	after that, my symptoms from rituxan: fatigue the night of the treatment; weird feelings in the nodes; fatigue the 3rd and 4th days after treatment then gradually returning to normal energy level (the day right after treatment i felt great energy-wise, for some reason); feeling like i had a minor chest cold the day after treatment (called it the rituxan hangover); and that's it.
5938	14a3a5aa-553e-48ce-8383-b56923b1fb24	taxol	it is much better		29	24	positive	540	523	had bad bone pain with the first taxol but dr added prednisone and took away the neulasta so it is much better now though still there even with the norco.
5939	14a3d03f-af11-44a7-8383-c3e9ccc62649	femara	i am feeling really good		279	273	positive	269	245	i am feeling really good on femara.
5940	14a4044f-a982-4fdf-8303-c9536da58331	ibrutinib	less effective		114	105	positive	142	128	i did read somewhere that in the lab ibrutinib made rituxan less effective.
5941	14a4044f-a982-4fdf-8303-c9536da58331	rituxan	less effective		48	41	positive	142	128	i did read somewhere that in the lab ibrutinib made rituxan less effective.
5943	14a4ba99-ed1d-43c9-8384-13bc0fb18229	gemzar	excellent results		132	126	positive	259	242	i haven't used gemzar myself, but have heard lots of good things about it and there are plenty of women on these boards who've had excellent results with this chemo and i am sure you will, too!
5945	14a59e81-731b-4cde-8384-615f7a18d7e4	tamoxifen	went well		316	307	positive	274	265	ok, so hat is normaleverything went well with mo and i got my script for tamoxifen.
5947	14a68a1e-678c-4acf-8384-b1a6af656339	herceptin	had good results		26	17	positive	71	55	i did indeed do herceptin-initially with taxotere and had good results.
5948	14a68a1e-678c-4acf-8384-b1a6af656339	taxotere	had good results		50	42	positive	71	55	i did indeed do herceptin-initially with taxotere and had good results.
5949	14a6ac4d-3331-46c8-beac-3fb86037b1b9	avastin	responded very well		55	48	positive	42	23	hi sherry, my husband responded very well with avastin with folfox.
5951	14a708e3-fe61-4356-8384-dcd9c2c87944	ixempra	does a great job		382	375	positive	741	725	ixempra does a great job!
5953	14a9b20c-319f-4400-8385-c508f4900000	herceptin	relatively easy		328	319	positive	667	652	herceptin is relatively easy.
5954	14ac4a53-c556-4472-87de-fb7694a5b324	rituxan	no side effects		85	78	positive	72	57	there are many on here, including myself, that have had no side effects from rituxan.
5955	14ac7e51-efaa-4bc2-850f-d53442731739	casodex	no fatigue		21	14	positive	175	165	no fatigue whatsoever, even with radiation.it may be the lupron and not the casodex.jt
5958	14acb484-1ff0-46ce-8386-cbcdb30b0324	femara	is still working		92	86	positive	374	358	considering that you just have a small amount of progression, it seems like femara is still working for you, pretty much.
5959	14aceaa5-83b7-49b8-bed2-2aeab9866a99	rituxin	is a good medicine		44	37	positive	166	148	rituxin is a good medicine.
5960	14afd2aa-201c-4d50-bee3-d57461e6ed04	tamoxifen	it worked		498	489	positive	661	652	i noticed no change in the way it worked while taking the tamoxifen or the aromasin.
5961	14afd2aa-201c-4d50-bee3-d57461e6ed04	aromasi	it worked		541	534	positive	661	652	i noticed no change in the way it worked while taking the tamoxifen or the aromasin.
5962	14b4814c-5328-4010-bf00-509c0610d924	epirubicin	i felt much better		114	104	positive	480	462	i found that if i went in for iv hydration on wednesday of the week i got my infusion of cisplatin and epirubicin i felt much better.
5963	14b4814c-5328-4010-bf00-509c0610d924	cisplatin	i felt much better		102	93	positive	480	462	i found that if i went in for iv hydration on wednesday of the week i got my infusion of cisplatin and epirubicin i felt much better.
5965	14b784c2-8770-4ff0-82f1-ee370813d190	tarceva	works well		44	37	positive	31	21	regarding what diet works well with tarceva, i have found that if i stay away from high fat meals the diahrea side effect is almost gone.
5967	14b79375-fcfb-47a8-bf13-023fc08fda81	taxol	it worked		74	69	positive	897	888	the one thing i can recommend is that she drinks tons of water.i drank at least a gallon a day which was probably a little excessive, but it worked for me and other than severe joint pain (from the taxol) on day four and five, i had no major issues.
5968	14b8011a-df22-4248-bf15-9de8f590c999	aromasi	have not had any side effects		24	17	positive	266	237	(i'm stage 3c) i have been taking aromasin for 7 months and have not had any side effects to speak of.
5969	14b87557-ba50-44fb-838a-cf65776a3931	tamoxifen	no side effects		91	82	positive	191	176	have the blessing of onco and psychiatrist to take together.so far happy to report no side effects from tamoxifen but yawning and vivid dreams from escitalopram.
5970	14bad201-ea8b-4297-8eb9-153685e87d89	zoladex	worth a try		280	273	positive	408	397	i had zoladex to repress my ovaries to try to protect them from being attacked by the chemo -this is an experimental approach but worth a try.
5971	14bfc316-24d5-4ae8-bf44-e4936b276651	taxol	no nausea		307	302	positive	340	331	"i'm ""just"" on taxol/herceptin and there is no nausea."
5972	14bfc316-24d5-4ae8-bf44-e4936b276651	herceptin	no nausea		317	308	positive	340	331	"i'm ""just"" on taxol/herceptin and there is no nausea."
5973	14bfcf32-1af1-46d8-bf45-2e6c9eb6ee61	cisplatin	it is working		74	65	positive	382	369	apparently, avraxane is approved for use with other cancers, but not really head and neck, but, it is working when combined with cisplatin.
5975	14bfd706-c8af-4079-838d-55f023a9f089	arimidex	i felt better		466	458	positive	1209	1196	if i felt better than we know its was the arimidex, and she will try me on something different, either aromasin or femara.
5976	14bfd706-c8af-4079-838d-55f023a9f089	aromasi	i felt better		1303	1296	positive	1209	1196	if i felt better than we know its was the arimidex, and she will try me on something different, either aromasin or femara.
5977	14bfd706-c8af-4079-838d-55f023a9f089	femara	i felt better		1314	1308	positive	1209	1196	if i felt better than we know its was the arimidex, and she will try me on something different, either aromasin or femara.
5978	14c0e7e9-68d6-41dc-82f4-9a11595c55e9	femara	really work		24	18	positive	138	127	i've been taking femara for 2 years and the pain is almost completely gone with glucosomine and chondrotin supplements - they really work!
5979	14c4b6cf-cd31-4e47-830d-5e1758180fa1	ibrutinib	working well		62	53	positive	757	745	i am glad the ibrutinib is working well for your husband.
5980	14c4e995-c97f-4170-bf64-5156ceee2364	taxol	no side effects		53	48	positive	85	70	i hope donna goes through the remainder of her taxol treatments with no side effects!
5981	14c512bb-b0ca-4d8c-838f-20da8ab3be10	tamox	so far so good		30	25	positive	113	99	cookiemonster i started tamox almost a week ago, didn't check what manufacturer i was getting and so far so good.
5982	14c68f91-f268-4d87-838f-a36440979489	arom	it works		1442	1438	positive	1540	1532	i also can't recommend acupuncture enough, it is fantastic.now that i'm on aromatase inhibitors, which have bone/joint paint as a se, i've been using claritin again.and it works!
5983	14c76e5f-7991-4568-bf73-b252ca62bc71	carbo	feeling better		32	27	positive	80	66	i am so glad they got the carbo started for you and that you are feeling better.
5984	14cbc7e2-7d1a-44f0-8391-6db93f663900	tamoxifen	really helped		33	24	positive	150	137	i did not have to take tamoxifen but i had horrible hot flashes.i had to avoid caffeine(my main intake was from chocolate) and exercise really helped.
5985	14cd0776-2e07-4f4b-a304-66bfc5e76c99	abrax	it helped		95	90	positive	68	59	it helped me to understand how abraxane works as the nanoparticle part concerned me.
5986	14cd35d1-e045-4064-82f8-1c40ae2fac09	sutent	doing well		543	537	positive	1515	1505	so far my husband is doing well on sutent, with side effects only beginning to arrive after two weeks (mouth is getting sensitive to heat), but everyone is individual.
5987	14ce047d-ac32-4ee5-a307-bac028be9179	taxatere	much more tolerable		73	65	positive	99	80	i found taxatere chemo much more tolerable than fec.
